stimulus,colour,trial_type,repetition,trigger_code
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,6,46
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,1,21
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,2,22
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,3,23
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,4,24
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,5,25
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,6,26
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,7,27
SHINE_processed_stimuli/SHINEd_031_y_m_a_b.jpg,black,no_response,8,28
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,1,41
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,2,42
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,3,43
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,4,44
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,5,45
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,6,46
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,7,47
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,8,48
SHINE_processed_stimuli/SHINEd_016_y_m_h_a.jpg,black,no_response,1,41
SHINE_processed_stimuli/SHINEd_016_y_m_h_a.jpg,black,no_response,2,42
SHINE_processed_stimuli/SHINEd_016_y_m_h_a.jpg,black,no_response,3,43
SHINE_processed_stimuli/SHINEd_016_y_m_h_a.jpg,black,no_response,4,44
SHINE_processed_stimuli/SHINEd_016_y_m_h_a.jpg,black,no_response,5,45
SHINE_processed_stimuli/SHINEd_022_y_f_h_b.jpg,black,no_response,1,41
SHINE_processed_stimuli/SHINEd_022_y_f_h_b.jpg,black,no_response,2,42
SHINE_processed_stimuli/SHINEd_022_y_f_h_b.jpg,black,no_response,3,43
SHINE_processed_stimuli/SHINEd_022_y_f_h_b.jpg,black,no_response,4,44
SHINE_processed_stimuli/SHINEd_022_y_f_h_b.jpg,black,no_response,5,45
SHINE_processed_stimuli/SHINEd_022_y_f_h_b.jpg,black,no_response,6,46
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,red,response,1,31
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,2,42
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,3,43
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,4,44
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,5,45
SHINE_processed_stimuli/SHINEd_008_y_m_h_b.jpg,black,no_response,6,46
SHINE_processed_stimuli/SHINEd_028_y_f_a_b.jpg,red,response,1,11
SHINE_processed_stimuli/SHINEd_028_y_f_a_b.jpg,black,no_response,2,22
SHINE_processed_stimuli/SHINEd_028_y_f_a_b.jpg,black,no_response,3,23
SHINE_processed_stimuli/SHINEd_028_y_f_a_b.jpg,black,no_response,4,24
SHINE_processed_stimuli/SHINEd_028_y_f_a_b.jpg,black,no_response,5,25
SHINE_processed_stimuli/SHINEd_020_y_f_h_a.jpg,black,no_response,1,41
SHINE_processed_stimuli/SHINEd_020_y_f_h_a.jpg,black,no_response,2,42
SHINE_processed_stimuli/SHINEd_020_y_f_h_a.jpg,black,no_response,3,43
SHINE_processed_stimuli/SHINEd_020_y_f_h_a.jpg,black,no_response,4,44
SHINE_processed_stimuli/SHINEd_020_y_f_h_a.jpg,black,no_response,5,45
SHINE_processed_stimuli/SHINEd_020_y_f_h_a.jpg,black,no_response,6,46
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,1,41
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,2,42
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,3,43
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,4,44
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,5,45
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,6,46
SHINE_processed_stimuli/SHINEd_028_y_f_h_a.jpg,black,no_response,7,47
