Stimulus,set,expression,sex,total_rating,female_rating,male_rating
010_y_f_h_a.jpg,a,happy,female,98,100,91
010_y_f_h_b.jpg,b,happy,female,99,100,100
020_y_f_h_a.jpg,a,happy,female,98,100,100
020_y_f_h_b.jpg,b,happy,female,98,100,100
022_y_f_h_a.jpg,a,happy,female,95,92,91
022_y_f_h_b.jpg,b,happy,female,96,100,100
028_y_f_h_a.jpg,a,happy,female,97,100,100
028_y_f_h_b.jpg,b,happy,female,99,100,100
034_y_f_h_a.jpg,a,happy,female,97,100,91
034_y_f_h_b.jpg,b,happy,female,98,100,100
040_y_f_h_a.jpg,a,happy,female,94,100,83
040_y_f_h_b.jpg,b,happy,female,85,100,92
048_y_f_h_a.jpg,a,happy,female,100,100,100
048_y_f_h_b.jpg,b,happy,female,97,100,100
054_y_f_h_a.jpg,a,happy,female,98,90,100
054_y_f_h_b.jpg,b,happy,female,98,100,100
063_y_f_h_a.jpg,a,happy,female,94,100,82
063_y_f_h_b.jpg,b,happy,female,99,100,100
069_y_f_h_a.jpg,a,happy,female,98,100,91
069_y_f_h_b.jpg,b,happy,female,99,91,100
071_y_f_h_a.jpg,a,happy,female,97,100,91
071_y_f_h_b.jpg,b,happy,female,98,100,100
085_y_f_h_a.jpg,a,happy,female,97,100,100
085_y_f_h_b.jpg,b,happy,female,98,100,100
090_y_f_h_a.jpg,a,happy,female,100,100,100
090_y_f_h_b.jpg,b,happy,female,97,100,100
098_y_f_h_a.jpg,a,happy,female,97,100,91
098_y_f_h_b.jpg,b,happy,female,95,100,100
101_y_f_h_a.jpg,a,happy,female,95,92,91
101_y_f_h_b.jpg,b,happy,female,100,100,100
106_y_f_h_a.jpg,a,happy,female,97,100,91
106_y_f_h_b.jpg,b,happy,female,97,100,100
115_y_f_h_a.jpg,a,happy,female,100,100,100
115_y_f_h_b.jpg,b,happy,female,95,100,100
125_y_f_h_a.jpg,a,happy,female,92,100,92
125_y_f_h_b.jpg,b,happy,female,96,100,100
132_y_f_h_a.jpg,a,happy,female,100,100,100
132_y_f_h_b.jpg,b,happy,female,97,100,100
134_y_f_h_a.jpg,a,happy,female,98,100,100
134_y_f_h_b.jpg,b,happy,female,98,100,100
140_y_f_h_a.jpg,a,happy,female,98,100,100
140_y_f_h_b.jpg,b,happy,female,100,100,100
150_y_f_h_a.jpg,a,happy,female,99,100,92
150_y_f_h_b.jpg,b,happy,female,99,100,100
152_y_f_h_a.jpg,a,happy,female,98,100,100
152_y_f_h_b.jpg,b,happy,female,99,100,100
162_y_f_h_a.jpg,a,happy,female,100,100,100
162_y_f_h_b.jpg,b,happy,female,97,100,100
163_y_f_h_a.jpg,a,happy,female,98,100,90
163_y_f_h_b.jpg,b,happy,female,100,100,100
171_y_f_h_a.jpg,a,happy,female,95,100,92
171_y_f_h_b.jpg,b,happy,female,98,100,100
173_y_f_h_a.jpg,a,happy,female,98,100,91
173_y_f_h_b.jpg,b,happy,female,100,100,100
177_y_f_h_a.jpg,a,happy,female,100,100,100
177_y_f_h_b.jpg,b,happy,female,98,100,91
182_y_f_h_a.jpg,a,happy,female,95,100,92
182_y_f_h_b.jpg,b,happy,female,95,90,100
010_y_f_a_a.jpg,a,angry,female,91,100,91
010_y_f_a_b.jpg,b,angry,female,87,100,82
020_y_f_a_a.jpg,a,angry,female,94,100,100
020_y_f_a_b.jpg,b,angry,female,94,100,100
022_y_f_a_a.jpg,a,angry,female,89,100,100
022_y_f_a_b.jpg,b,angry,female,85,100,100
028_y_f_a_a.jpg,a,angry,female,91,100,83
028_y_f_a_b.jpg,b,angry,female,92,100,100
034_y_f_a_a.jpg,a,angry,female,52,67,55
034_y_f_a_b.jpg,b,angry,female,60,100,50
040_y_f_a_a.jpg,a,angry,female,84,91,73
040_y_f_a_b.jpg,b,angry,female,76,90,67
048_y_f_a_a.jpg,a,angry,female,95,100,91
048_y_f_a_b.jpg,b,angry,female,97,100,100
054_y_f_a_a.jpg,a,angry,female,77,83,82
054_y_f_a_b.jpg,b,angry,female,85,91,73
063_y_f_a_a.jpg,a,angry,female,88,100,92
063_y_f_a_b.jpg,b,angry,female,88,100,83
069_y_f_a_a.jpg,a,angry,female,97,91,92
069_y_f_a_b.jpg,b,angry,female,100,100,100
071_y_f_a_a.jpg,a,angry,female,91,100,80
071_y_f_a_b.jpg,b,angry,female,97,100,92
085_y_f_a_a.jpg,a,angry,female,85,100,91
085_y_f_a_b.jpg,b,angry,female,79,100,92
090_y_f_a_a.jpg,a,angry,female,89,80,100
090_y_f_a_b.jpg,b,angry,female,74,80,100
098_y_f_a_a.jpg,a,angry,female,97,100,100
098_y_f_a_b.jpg,b,angry,female,95,100,91
101_y_f_a_a.jpg,a,angry,female,26,18,27
101_y_f_a_b.jpg,b,angry,female,61,64,82
106_y_f_a_a.jpg,a,angry,female,73,85,91
106_y_f_a_b.jpg,b,angry,female,85,100,91
115_y_f_a_a.jpg,a,angry,female,92,100,92
115_y_f_a_b.jpg,b,angry,female,92,100,92
125_y_f_a_a.jpg,a,angry,female,85,82,73
125_y_f_a_b.jpg,b,angry,female,92,100,100
132_y_f_a_a.jpg,a,angry,female,86,92,89
132_y_f_a_b.jpg,b,angry,female,75,100,91
134_y_f_a_a.jpg,a,angry,female,86,82,67
134_y_f_a_b.jpg,b,angry,female,85,89,75
140_y_f_a_a.jpg,a,angry,female,94,100,100
140_y_f_a_b.jpg,b,angry,female,94,91,91
150_y_f_a_a.jpg,a,angry,female,94,100,92
150_y_f_a_b.jpg,b,angry,female,94,90,100
152_y_f_a_a.jpg,a,angry,female,88,100,100
152_y_f_a_b.jpg,b,angry,female,91,100,100
162_y_f_a_a.jpg,a,angry,female,95,100,91
162_y_f_a_b.jpg,b,angry,female,94,100,100
163_y_f_a_a.jpg,a,angry,female,89,100,91
