event_type,face_type,rep_number,cross_colour,trigger_code
show_face,angry_face,1,black,21
show_face,angry_face,2,black,22
show_face,angry_face,3,black,23
show_face,angry_face,4,black,24
show_face,angry_face,5,black,25
show_face,angry_face,6,black,26
show_face,angry_face,7,black,27
show_face,angry_face,8,black,28
show_face,happy_face,1,black,41
show_face,happy_face,2,black,42
show_face,happy_face,3,black,43
show_face,happy_face,4,black,44
show_face,happy_face,5,black,45
show_face,happy_face,6,black,46
show_face,happy_face,7,black,47
show_face,happy_face,8,black,48
show_face,neutral_face,1,black,61
show_face,neutral_face,2,black,62
show_face,neutral_face,3,black,63
show_face,neutral_face,4,black,64
show_face,neutral_face,5,black,65
show_face,neutral_face,6,black,66
show_face,neutral_face,7,black,67
show_face,neutral_face,8,black,68
show_face,angry_face,1,red,11
show_face,angry_face,2,red,12
show_face,angry_face,3,red,13
show_face,angry_face,4,red,14
show_face,angry_face,5,red,15
show_face,angry_face,6,red,16
show_face,angry_face,7,red,17
show_face,angry_face,8,red,18
show_face,happy_face,1,red,31
show_face,happy_face,2,red,32
show_face,happy_face,3,red,33
show_face,happy_face,4,red,34
show_face,happy_face,5,red,35
show_face,happy_face,6,red,36
show_face,happy_face,7,red,37
show_face,happy_face,8,red,38
show_face,neutral_face,1,red,51
show_face,neutral_face,2,red,52
show_face,neutral_face,3,red,53
show_face,neutral_face,4,red,54
show_face,neutral_face,5,red,55
show_face,neutral_face,6,red,56
show_face,neutral_face,7,red,57
show_face,neutral_face,8,red,58
